,circuito,circuito,serie,serie,desde,hasta,ap,pd,ca,pc,pva,peri,fa,pt,pi,pn,pg,martinez,lacalle,multi
0,1.0,1.0,AAA,AAA,1.0,6516,0.006896551724137931,0.0,0.10689655172413794,0.1310344827586207,0.006896551724137931,0.017241379310344827,0.40344827586206894,0.0,0.017241379310344827,0.296551724137931,0.013793103448275862,0.40955631399317405,0.590443686006826,0.5655172413793104
1,1.0,1.0,CAA,CAA,1.0,13870,0.004484304932735426,0.0,0.04484304932735426,0.17488789237668162,0.0,0.0,0.2645739910313901,0.0,0.004484304932735426,0.49327354260089684,0.013452914798206279,0.3,0.7,0.7309417040358744
2,1.0,1.0,DAA,DAA,1.0,9555,0.003745318352059925,0.0,0.09737827715355805,0.20224719101123595,0.0,0.003745318352059925,0.10486891385767791,0.0,0.018726591760299626,0.5692883895131086,0.0,0.12878787878787878,0.8712121212121212,0.8876404494382022
3,1.0,1.0,EAA,EAA,1.0,21405,0.0,0.0,0.12916666666666668,0.125,0.004166666666666667,0.004166666666666667,0.2,0.0,0.004166666666666667,0.525,0.008333333333333333,0.22857142857142856,0.7714285714285715,0.7916666666666667
4,1.0,1.0,FAA,FAA,1.0,19097,0.004629629629629629,0.0,0.125,0.10648148148148148,0.004629629629629629,0.0,0.2175925925925926,0.0,0.0,0.5416666666666666,0.0,0.2544642857142857,0.7455357142857143,0.7731481481481481
5,1.0,1.0,GAA,GAA,1.0,5042,0.0030120481927710845,0.0,0.07228915662650602,0.12650602409638553,0.0030120481927710845,0.006024096385542169,0.2620481927710843,0.0,0.012048192771084338,0.5150602409638554,0.0,0.30498533724340177,0.6950146627565983,0.7259036144578312
6,1.0,1.0,HAA,HAA,1.0,9082,0.0,0.0,0.15447154471544716,0.2886178861788618,0.0040650406504065045,0.0040650406504065045,0.12195121951219512,0.0,0.0040650406504065045,0.42276422764227645,0.0,0.16412213740458015,0.8358778625954199,0.8699186991869918
7,1.0,1.0,IAA,IAA,1.0,4078,0.0,0.0,0.12442396313364056,0.16589861751152074,0.004608294930875576,0.0,0.0967741935483871,0.0,0.004608294930875576,0.6036866359447005,0.0,0.12037037037037036,0.8796296296296297,0.8986175115207373
8,1.0,1.0,JAA,JAA,1.0,5902,0.00303951367781155,0.0,0.0851063829787234,0.20972644376899696,0.0060790273556231,0.00911854103343465,0.3221884498480243,0.0,0.00303951367781155,0.3434650455927052,0.0182370820668693,0.35276073619631904,0.647239263803681,0.6595744680851063
9,1.0,1.0,KAA,KAA,1.0,14569,0.012605042016806723,0.0,0.05042016806722689,0.17647058823529413,0.012605042016806723,0.004201680672268907,0.31092436974789917,0.0,0.012605042016806723,0.41596638655462187,0.004201680672268907,0.359504132231405,0.640495867768595,0.6596638655462186
10,1.0,1.0,LAA,LAA,1.0,13933,0.0,0.0,0.08947368421052632,0.15789473684210525,0.0,0.0,0.22631578947368422,0.0,0.0,0.5157894736842106,0.010526315789473684,0.22797927461139897,0.772020725388601,0.7736842105263159
11,1.0,1.0,MAA,MAA,1.0,23104,0.0,0.0,0.07329842931937172,0.225130890052356,0.0,0.0,0.3507853403141361,0.0,0.005235602094240838,0.3403141361256545,0.005235602094240838,0.37435897435897436,0.6256410256410256,0.6492146596858639
12,1.0,1.0,NAA,NAA,1.0,1502,0.012048192771084338,0.0,0.14457831325301204,0.22289156626506024,0.0,0.0,0.1144578313253012,0.0,0.012048192771084338,0.4759036144578313,0.018072289156626505,0.18452380952380953,0.8154761904761905,0.8734939759036144
13,1.0,1.0,OAA,OAA,1.0,4003,0.0061162079510703364,0.0,0.10397553516819572,0.11314984709480122,0.0,0.0,0.3425076452599388,0.0,0.01529051987767584,0.40672782874617736,0.012232415902140673,0.37888198757763975,0.6211180124223602,0.6513761467889908
14,1.0,1.0,PAA,PAA,1.0,9274,0.0,0.0,0.11147540983606558,0.24262295081967214,0.003278688524590164,0.003278688524590164,0.14754098360655737,0.0,0.0,0.4918032786885246,0.0,0.1607717041800643,0.8392282958199357,0.8459016393442623
15,1.0,1.0,QAA,QAA,1.0,18677,0.004032258064516129,0.0,0.11693548387096774,0.2620967741935484,0.004032258064516129,0.0,0.2217741935483871,0.0,0.004032258064516129,0.38306451612903225,0.004032258064516129,0.2809917355371901,0.71900826446281,0.7701612903225806
16,1.0,1.0,RAA,RAA,1.0,5776,0.006060606060606061,0.0030303030303030303,0.15454545454545454,0.16363636363636364,0.0,0.0030303030303030303,0.20606060606060606,0.0,0.006060606060606061,0.4575757575757576,0.0,0.25382262996941896,0.746177370030581,0.7818181818181817
17,1.0,1.0,SAA,SAA,1.0,17115,0.0038910505836575876,0.0,0.05058365758754864,0.23735408560311283,0.0038910505836575876,0.0038910505836575876,0.19844357976653695,0.0,0.0,0.4980544747081712,0.0038910505836575876,0.21428571428571427,0.7857142857142857,0.7898832684824902
18,1.0,1.0,TAA,TAA,1.0,20402,0.003875968992248062,0.0,0.08527131782945736,0.17829457364341086,0.003875968992248062,0.0,0.2441860465116279,0.0,0.007751937984496124,0.47674418604651164,0.0,0.252,0.748,0.748062015503876
19,2.0,2.0,AAA,AAA,6517.0,7752,0.012307692307692308,0.0,0.2246153846153846,0.07076923076923076,0.006153846153846154,0.018461538461538463,0.39692307692307693,0.0,0.018461538461538463,0.24615384615384617,0.006153846153846154,0.47720364741641336,0.5227963525835866,0.5661538461538462
